***Ebeam     Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
   10.7000   3.0000   8.4000   0.0477   0.6887  0.18898E+03  0.18897E+03  0.37543E-02  0.32337E+03  0.45998E+01  0.45178E+02  0.27359E+03  0.10000E+01
   10.7000   3.0100   8.4000   0.0479   0.6910  0.18900E+03  0.18900E+03  0.37553E-02  0.32266E+03  0.45296E+01  0.44767E+02  0.27337E+03  0.10000E+01
   10.7000   3.0200   8.4000   0.0481   0.6933  0.18902E+03  0.18902E+03  0.37563E-02  0.32200E+03  0.44606E+01  0.44368E+02  0.27318E+03  0.10000E+01
   10.7000   3.0300   8.4000   0.0483   0.6956  0.18905E+03  0.18904E+03  0.37573E-02  0.32132E+03  0.43928E+01  0.43974E+02  0.27296E+03  0.10000E+01
   10.7000   3.0400   8.4000   0.0486   0.6979  0.18907E+03  0.18907E+03  0.37584E-02  0.32063E+03  0.43260E+01  0.43572E+02  0.27274E+03  0.10000E+01
   10.7000   3.0500   8.4000   0.0488   0.7002  0.18904E+03  0.18904E+03  0.37596E-02  0.31995E+03  0.42604E+01  0.43180E+02  0.27251E+03  0.10000E+01
   10.7000   3.0600   8.4000   0.0490   0.7025  0.18907E+03  0.18906E+03  0.37608E-02  0.31929E+03  0.41959E+01  0.42799E+02  0.27229E+03  0.10000E+01
   10.7000   3.0700   8.4000   0.0492   0.7048  0.18908E+03  0.18908E+03  0.37621E-02  0.31863E+03  0.41324E+01  0.42418E+02  0.27208E+03  0.10000E+01
   10.7000   3.0800   8.4000   0.0494   0.7071  0.18911E+03  0.18911E+03  0.37634E-02  0.31791E+03  0.40699E+01  0.42045E+02  0.27180E+03  0.10000E+01
   10.7000   3.0900   8.4000   0.0497   0.7094  0.18913E+03  0.18912E+03  0.37648E-02  0.31727E+03  0.40084E+01  0.41672E+02  0.27159E+03  0.10000E+01
   10.7000   3.1000   8.4000   0.0499   0.7117  0.18916E+03  0.18916E+03  0.37662E-02  0.31676E+03  0.39479E+01  0.41441E+02  0.27137E+03  0.10000E+01
   10.7000   3.1100   8.4000   0.0501   0.7140  0.18918E+03  0.18918E+03  0.37677E-02  0.31601E+03  0.38883E+01  0.40941E+02  0.27118E+03  0.10000E+01
   10.7000   3.1200   8.4000   0.0504   0.7163  0.18922E+03  0.18921E+03  0.37692E-02  0.31540E+03  0.38297E+01  0.40587E+02  0.27098E+03  0.10000E+01
   10.7000   3.1300   8.4000   0.0506   0.7186  0.18924E+03  0.18923E+03  0.37708E-02  0.31478E+03  0.37720E+01  0.40234E+02  0.27078E+03  0.10000E+01
   10.7000   3.1400   8.4000   0.0508   0.7209  0.18928E+03  0.18927E+03  0.37725E-02  0.31417E+03  0.37153E+01  0.39884E+02  0.27057E+03  0.10000E+01
   10.7000   3.1500   8.4000   0.0510   0.7232  0.18932E+03  0.18932E+03  0.37742E-02  0.31355E+03  0.36594E+01  0.39543E+02  0.27035E+03  0.10000E+01
   10.7000   3.1600   8.4000   0.0513   0.7254  0.18931E+03  0.18931E+03  0.37759E-02  0.31297E+03  0.36045E+01  0.39200E+02  0.27017E+03  0.10000E+01
   10.7000   3.1700   8.4000   0.0515   0.7277  0.18936E+03  0.18936E+03  0.37777E-02  0.31242E+03  0.35504E+01  0.38862E+02  0.27001E+03  0.10000E+01
   10.7000   3.1800   8.4000   0.0517   0.7300  0.18942E+03  0.18942E+03  0.37795E-02  0.31186E+03  0.34972E+01  0.38526E+02  0.26984E+03  0.10000E+01
